Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
F1,20/08/2022,20:00,Marseille,Nantes,2,1,H
F1,21/08/2022,12:00,Strasbourg,Reims,1,1,D
F1,21/08/2022,14:00,Angers,Brest,1,3,A
F1,21/08/2022,14:00,Clermont,Nice,1,0,H
F1,21/08/2022,14:00,Montpellier,Auxerre,1,2,A
F1,21/08/2022,14:00,Toulouse,Lorient,2,2,D
F1,21/08/2022,16:05,Rennes,Ajaccio,2,1,H
F1,21/08/2022,19:45,Lille,Paris SG,1,7,A
F1,26/08/2022,20:00,Ajaccio,Lille,1,3,A
F1,27/08/2022,16:00,Auxerre,Strasbourg,1,0,H
F1,27/08/2022,20:00,Lens,Rennes,2,1,H
F1,28/08/2022,12:00,Nantes,Toulouse,3,1,H
F1,28/08/2022,14:00,Brest,Montpellier,0,7,A
F1,28/08/2022,14:00,Lorient,Clermont,2,1,H
F1,28/08/2022,14:00,Nice,Marseille,0,3,A
F1,28/08/2022,14:00,Troyes,Angers,3,1,H
F1,28/08/2022,16:05,Reims,Lyon,1,1,D
F1,28/08/2022,19:45,Paris SG,Monaco,1,1,D
F1,31/08/2022,18:00,Angers,Reims,2,4,A
F1,31/08/2022,18:00,Lyon,Auxerre,2,1,H
F1,31/08/2022,18:00,Monaco,Troyes,2,4,A
F1,31/08/2022,18:00,Montpellier,Ajaccio,2,0,H
F1,31/08/2022,18:00,Strasbourg,Nantes,1,1,D
F1,31/08/2022,20:00,Lens,Lorient,5,2,H
F1,31/08/2022,20:00,Lille,Nice,1,2,A
F1,31/08/2022,20:00,Marseille,Clermont,1,0,H
F1,31/08/2022,20:00,Rennes,Brest,3,1,H
F1,31/08/2022,20:00,Toulouse,Paris SG,0,3,A
F1,03/09/2022,16:00,Auxerre,Marseille,0,2,A
F1,03/09/2022,18:00,Lyon,Angers,5,0,H
F1,03/09/2022,20:00,Nantes,Paris SG,0,3,A
F1,04/09/2022,12:00,Montpellier,Lille,1,3,A
F1,04/09/2022,14:00,Ajaccio,Lorient,0,1,A
F1,04/09/2022,14:00,Brest,Strasbourg,1,1,D
F1,04/09/2022,14:00,Clermont,Toulouse,2,0,H
F1,04/09/2022,14:00,Reims,Lens,1,1,D
F1,04/09/2022,16:05,Troyes,Rennes,1,1,D
F1,04/09/2022,19:45,Nice,Monaco,0,1,A
F1,07/09/2022,18:00,Lorient,Lyon,3,1,H
F1,09/09/2022,20:00,Lens,Troyes,1,0,H
F1,10/09/2022,16:00,Paris SG,Brest,1,0,H
F1,10/09/2022,20:00,Marseille,Lille,2,1,H
F1,11/09/2022,12:00,Strasbourg,Clermont,0,0,D
F1,11/09/2022,14:00,Ajaccio,Nice,0,1,A
F1,11/09/2022,14:00,Angers,Montpellier,2,1,H
F1,11/09/2022,14:00,Lorient,Nantes,3,2,H
F1,11/09/2022,14:00,Toulouse,Reims,1,0,H
F1,11/09/2022,16:05,Rennes,Auxerre,5,0,H
F1,11/09/2022,19:45,Monaco,Lyon,2,1,H
F1,16/09/2022,20:00,Auxerre,Lorient,1,3,A
F1,17/09/2022,16:00,Montpellier,Strasbourg,2,1,H
F1,17/09/2022,20:00,Lille,Toulouse,2,1,H
F1,18/09/2022,12:00,Reims,Monaco,0,3,A
F1,18/09/2022,14:00,Brest,Ajaccio,0,1,A
F1,18/09/2022,14:00,Clermont,Troyes,1,3,A
F1,18/09/2022,14:00,Marseille,Rennes,1,1,D
F1,18/09/2022,14:00,Nice,Angers,0,1,A
F1,18/09/2022,16:05,Nantes,Lens,0,0,D
F1,18/09/2022,19:45,Lyon,Paris SG,0,1,A
F1,30/09/2022,20:00,Angers,Marseille,0,3,A
F1,01/10/2022,16:00,Strasbourg,Rennes,1,3,A
F1,01/10/2022,20:00,Paris SG,Nice,2,1,H
F1,02/10/2022,12:00,Lorient,Lille,2,1,H
F1,02/10/2022,14:00,Ajaccio,Clermont,1,3,A
F1,02/10/2022,14:00,Auxerre,Brest,1,1,D
F1,02/10/2022,14:00,Toulouse,Montpellier,4,2,H
F1,02/10/2022,14:00,Troyes,Reims,2,2,D
F1,02/10/2022,16:05,Monaco,Nantes,4,1,H
F1,02/10/2022,19:45,Lens,Lyon,1,0,H
F1,07/10/2022,20:00,Lyon,Toulouse,1,1,D
F1,08/10/2022,16:00,Marseille,Ajaccio,1,2,A
F1,08/10/2022,20:00,Reims,Paris SG,0,0,D
F1,09/10/2022,12:00,Montpellier,Monaco,0,2,A
F1,09/10/2022,14:00,Angers,Strasbourg,2,3,A
F1,09/10/2022,14:00,Brest,Lorient,1,2,A
F1,09/10/2022,14:00,Clermont,Auxerre,2,1,H
F1,09/10/2022,14:00,Nice,Troyes,3,2,H
F1,09/10/2022,16:05,Rennes,Nantes,3,0,H
F1,09/10/2022,19:45,Lille,Lens,1,0,H
F1,14/10/2022,20:00,Strasbourg,Lille,0,3,A
F1,15/10/2022,16:00,Lorient,Reims,0,0,D
F1,15/10/2022,20:00,Lens,Montpellier,1,0,H
F1,16/10/2022,12:00,Toulouse,Angers,3,2,H
F1,16/10/2022,14:00,Auxerre,Nice,1,1,D
F1,16/10/2022,14:00,Nantes,Brest,4,1,H
F1,16/10/2022,14:00,Rennes,Lyon,3,2,H
F1,16/10/2022,14:00,Troyes,Ajaccio,1,1,D
F1,16/10/2022,16:05,Monaco,Clermont,1,1,D
F1,16/10/2022,19:45,Paris SG,Marseille,1,0,H
F1,21/10/2022,20:00,Ajaccio,Paris SG,0,3,A
F1,22/10/2022,16:00,Montpellier,Lyon,1,2,A
F1,22/10/2022,20:00,Marseille,Lens,0,1,A
F1,23/10/2022,12:00,Angers,Rennes,1,2,A
F1,23/10/2022,14:00,Clermont,Brest,1,3,A
F1,23/10/2022,14:00,Reims,Auxerre,2,1,H
F1,23/10/2022,14:00,Toulouse,Strasbourg,2,2,D
F1,23/10/2022,14:00,Troyes,Lorient,2,2,D
F1,23/10/2022,16:05,Nice,Nantes,1,1,D
F1,23/10/2022,19:45,Lille,Monaco,4,3,H
F1,28/10/2022,20:00,Lens,Toulouse,3,0,H
F1,29/10/2022,16:00,Paris SG,Troyes,4,3,H
F1,29/10/2022,20:00,Strasbourg,Marseille,2,2,D
F1,30/10/2022,12:00,Auxerre,Ajaccio,1,0,H
F1,30/10/2022,14:00,Brest,Reims,0,0,D
F1,30/10/2022,14:00,Monaco,Angers,2,0,H
F1,30/10/2022,14:00,Nantes,Clermont,1,1,D
F1,30/10/2022,14:00,Rennes,Montpellier,3,0,H
F1,30/10/2022,16:05,Lorient,Nice,1,2,A
F1,30/10/2022,19:45,Lyon,Lille,1,0,H
F1,04/11/2022,20:00,Troyes,Auxerre,1,1,D
F1,05/11/2022,16:00,Ajaccio,Strasbourg,4,2,H
F1,05/11/2022,20:00,Angers,Lens,1,2,A
F1,06/11/2022,12:00,Lorient,Paris SG,1,2,A
F1,06/11/2022,14:00,Clermont,Montpellier,1,1,D
F1,06/11/2022,14:00,Nice,Brest,1,0,H
F1,06/11/2022,14:00,Reims,Nantes,1,0,H
F1,06/11/2022,14:00,Toulouse,Monaco,0,2,A
F1,06/11/2022,16:05,Lille,Rennes,1,1,D
F1,06/11/2022,19:45,Marseille,Lyon,1,0,H
F1,11/11/2022,20:00,Lyon,Nice,1,1,D
F1,12/11/2022,16:00,Lens,Clermont,2,1,H
F1,12/11/2022,20:00,Rennes,Toulouse,2,1,H
F1,13/11/2022,12:00,Paris SG,Auxerre,5,0,H
F1,13/11/2022,14:00,Brest,Troyes,2,1,H
F1,13/11/2022,14:00,Lille,Angers,1,0,H
F1,13/11/2022,14:00,Montpellier,Reims,1,1,D
F1,13/11/2022,14:00,Nantes,Ajaccio,2,2,D
F1,13/11/2022,16:05,Strasbourg,Lorient,1,1,D
F1,13/11/2022,19:45,Monaco,Marseille,2,3,A
F1,28/12/2022,14:00,Ajaccio,Angers,1,0,H
F1,28/12/2022,14:00,Troyes,Nantes,0,0,D
